1	-29365115.981868
1	-29365115.981868
1	-29365115.981868
1	-29365115.981868
1	-29365115.981868
1	-29365115.981868
1	-29365115.981868
1	-29365115.981868
1	-29365115.981868
1	-29365115.981868
2	-26896497.498827
2	-26763047.432404
2	-26896497.52662
2	-26763047.393598
2	-26896497.475528
2	-26896497.53444
2	-26896497.492244
2	-26896497.479856
2	-26896497.489012
2	-26896497.53129
3	-24882915.91824
3	-24882916.005909
3	-24882915.920219
3	-24882915.965593
3	-24882915.956317
3	-24882915.945144
3	-24882916.062896
3	-24882915.866261
3	-24882915.905818
3	-24882915.9695
4	-23813807.818425
4	-23813807.685479
4	-23813807.64495
4	-23813807.86431
4	-23813807.586731
4	-23813807.815598
4	-23813807.774668
4	-23813808.164893
4	-23813807.759549
4	-23813807.719961
5	-23337224.121046
5	-23337224.055029
5	-23261131.811729
5	-23337224.049841
5	-23261132.615124
5	-23337224.14886
5	-23337224.289668
5	-23337224.167443
5	-23337224.078847
5	-23337224.153533
6	-23054994.347695
6	-22785447.527169
6	-22785447.42641
6	-22785447.652281
6	-22785447.429598
6	-22785447.507955
6	-22785447.627254
6	-22785447.577768
6	-22785447.553558
6	-22785447.346063
