1	-15837471.279847
1	-15837471.279847
1	-15837471.279847
1	-15837471.279847
1	-15837471.279847
1	-15837471.279847
1	-15837471.279847
1	-15837471.279847
1	-15837471.279847
1	-15837471.279847
2	-13526135.112824
2	-13526135.090285
2	-13526135.10652
2	-13526135.101266
2	-13526135.103917
2	-13526135.107142
2	-13526135.090112
2	-13526135.094911
2	-13526135.055585
2	-13526135.105126
3	-13255096.854792
3	-13220304.039891
3	-13220304.039537
3	-13220303.999838
3	-13220304.007127
3	-13259998.327364
3	-13220304.044307
3	-13220304.023996
3	-13220304.041056
3	-13220304.030074
4	-12956520.324575
4	-12956520.225655
4	-12956520.430515
4	-12956520.340162
4	-12956520.343804
4	-12956520.293274
4	-12956520.424811
4	-12956520.421035
4	-12956520.382268
4	-12956520.427016
5	-12801571.489761
5	-12840813.130834
5	-12801571.404857
5	-12844917.86154
5	-12844917.925085
5	-12847530.63337
5	-12844917.875605
5	-12801571.537441
5	-12801571.916213
5	-12844241.056684
